,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.271,1.17,1.381,p<0.01,51933.0
1,est_pct_poc,1.162,1.026,1.315,p<0.05,52016.0
2,est_pct_latinx,1.204,1.022,1.419,p<0.05,52016.0
3,est_pct_nhblack,1.086,0.953,1.237,,52016.0
4,est_pct_asianpi,0.912,0.832,0.999,p<0.05,52016.0
5,est_pct_native,1.018,0.987,1.051,,52016.0
6,est_pct_otherpoc,0.975,0.934,1.018,,52191.0
7,est_pct_renters,1.386,1.28,1.501,p<0.01,52016.0
8,est_pct_langisolation,1.173,1.06,1.299,p<0.01,51910.0
9,est_pct_elderly,1.174,1.126,1.224,p<0.01,51910.0
10,est_pct_under18,0.927,0.877,0.979,p<0.01,51568.0
11,est_pct_nocar,1.405,1.202,1.644,p<0.01,52016.0
12,est_pct_singparents,1.081,1.011,1.156,p<0.05,51910.0
13,dac,1.603,1.344,1.911,p<0.01,51910.0
14,pct_novote,1.398,1.254,1.558,p<0.01,52191.0
