,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.113,1.034,1.199,p<0.01,26738.0
1,est_pct_poc,1.044,0.932,1.17,,26793.0
2,est_pct_latinx,1.143,1.067,1.224,p<0.01,26793.0
3,est_pct_nhblack,0.97,0.886,1.062,,26793.0
4,est_pct_asianpi,0.966,0.926,1.008,,26793.0
5,est_pct_native,1.012,0.99,1.034,,26793.0
6,est_pct_otherpoc,0.986,0.946,1.028,,26919.0
7,est_pct_renters,1.165,1.106,1.226,p<0.01,26793.0
8,est_pct_langisolation,1.079,0.984,1.184,,26720.0
9,est_pct_elderly,1.039,1.016,1.063,p<0.01,26720.0
10,est_pct_under18,0.985,0.956,1.016,,26498.0
11,est_pct_nocar,1.208,1.135,1.286,p<0.01,26793.0
12,est_pct_singparents,1.024,0.955,1.098,,26720.0
13,dac,1.242,1.046,1.474,p<0.05,26720.0
14,pct_novote,1.136,0.999,1.29,p<0.1,26919.0
