,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,0.305,-0.008,0.618,p<0.1,26738.0
1,est_pct_poc,0.053,-0.4,0.506,,26793.0
2,est_pct_latinx,0.506,0.143,0.869,p<0.01,26793.0
3,est_pct_nhblack,-0.249,-0.621,0.124,,26793.0
4,est_pct_asianpi,-0.045,-0.217,0.127,,26793.0
5,est_pct_native,0.06,-0.017,0.137,,26793.0
6,est_pct_otherpoc,0.032,-0.133,0.197,,26919.0
7,est_pct_renters,0.516,0.298,0.734,p<0.01,26793.0
8,est_pct_langisolation,0.297,-0.125,0.719,,26720.0
9,est_pct_elderly,0.148,0.061,0.235,p<0.01,26720.0
10,est_pct_under18,-0.101,-0.225,0.023,,26498.0
11,est_pct_nocar,0.677,0.383,0.97,p<0.01,26793.0
12,est_pct_singparents,-0.013,-0.308,0.282,,26720.0
13,dac,0.64,-0.123,1.403,p<0.1,26720.0
14,pct_novote,0.432,-0.154,1.017,,26919.0
