,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.272,1.162,1.392,p<0.01,51689.0
1,est_pct_poc,1.083,0.942,1.245,,51772.0
2,est_pct_latinx,1.215,1.081,1.366,p<0.01,51772.0
3,est_pct_nhblack,0.986,0.874,1.113,,51772.0
4,est_pct_asianpi,0.924,0.851,1.003,p<0.1,51772.0
5,est_pct_native,1.021,0.988,1.055,,51772.0
6,est_pct_otherpoc,0.993,0.947,1.042,,51957.0
7,est_pct_renters,1.414,1.317,1.518,p<0.01,51772.0
8,est_pct_langisolation,1.192,1.088,1.305,p<0.01,51666.0
9,est_pct_elderly,1.147,1.11,1.185,p<0.01,51666.0
10,est_pct_under18,0.925,0.875,0.977,p<0.01,51321.0
11,est_pct_nocar,1.351,1.213,1.505,p<0.01,51772.0
12,est_pct_singparents,1.05,0.971,1.134,,51666.0
13,dac,1.501,1.232,1.828,p<0.01,51666.0
14,pct_novote,1.359,1.205,1.533,p<0.01,51957.0
