,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.068,1.017,1.122,p<0.01,11499.0
1,est_pct_poc,1.049,0.968,1.137,,11539.0
2,est_pct_latinx,1.112,1.056,1.171,p<0.01,11539.0
3,est_pct_nhblack,1.001,0.94,1.067,,11539.0
4,est_pct_asianpi,0.932,0.878,0.99,p<0.05,11539.0
5,est_pct_native,0.989,0.957,1.023,,11539.0
6,est_pct_otherpoc,1.001,0.971,1.032,,11627.0
7,est_pct_renters,1.114,1.072,1.158,p<0.01,11539.0
8,est_pct_langisolation,1.036,0.956,1.123,,11487.0
9,est_pct_elderly,1.015,0.994,1.036,,11487.0
10,est_pct_under18,0.997,0.965,1.029,,11373.0
11,est_pct_nocar,1.095,1.028,1.165,p<0.01,11539.0
12,est_pct_singparents,1.035,0.99,1.083,,11487.0
13,dac,1.119,0.974,1.285,,11487.0
14,pct_novote,1.128,1.032,1.234,p<0.01,11627.0
